日期,天气状况,气温,风力风向
2017年12月31日,晴 /晴,9℃ / -4℃,东南风 <3级 /西北风 <3级
2018年1月1日,多云 /多云,9℃ / -2℃,东南风 <3级 /北风 <3级
2018年1月2日,小雨 /雨夹雪,4℃ / -3℃,南风 <3级 /北风 <3级
2018年1月3日,大雪 /暴雪,0℃ / -3℃,东风 <3级 /西风 <3级
2018年1月4日,小雪 /阴,-3℃ / -4℃,西南风 <3级 /西南风 <3级
2018年1月5日,多云 /小雪,-4℃ / -6℃,西南风 <3级 /西风 <3级
2018年1月6日,中雪 /阴,-2℃ / -5℃,西风 <3级 /西风 3～4级
2018年1月7日,阴 /多云,2℃ / -8℃,西风 3～4级 /西风 3～4级
2018年1月8日,晴 /晴,4℃ / -10℃,西北风 3～4级 /西北风 <3级
2018年1月9日,晴 /晴,4℃ / -9℃,西北风 <3级 /西北风 <3级
2018年1月10日,晴 /晴,7℃ / -9℃,西北风 <3级 /西风 <3级
2018年1月11日,晴 /晴,5℃ / -10℃,北风 <3级 /北风 <3级
2018年1月12日,多云 /多云,3℃ / -8℃,东风 <3级 /西北风 <3级
2018年1月13日,多云 /晴,3℃ / -5℃,东南风 <3级 /西北风 <3级
2018年1月14日,晴 /晴,5℃ / -4℃,东风 <3级 /西北风 <3级
2018年1月15日,阴 /阴,5℃ / -4℃,西风 <3级 /西北风 <3级
2018年1月16日,晴 /多云,7℃ / -5℃,东风 <3级 /西北风 <3级
2018年1月17日,多云 /多云,7℃ / -4℃,西南风 <3级 /北风 <3级
2018年1月18日,阴 /多云,4℃ / -5℃,西南风 <3级 /西北风 <3级
2018年1月19日,多云 /多云,8℃ / -5℃,东北风 <3级 /北风 <3级
2018年1月20日,阴 /阴,9℃ / -3℃,西北风 <3级 /西北风 <3级
2018年1月21日,多云 /多云,10℃ / -3℃,东北风 <3级 /北风 <3级
2018年1月22日,多云 /晴,10℃ / -3℃,东风 <3级 /西北风 <3级
2018年1月23日,多云 /小雪,4℃ / -4℃,东风 3～4级 /北风 <3级
2018年1月24日,中雪 /大雪,2℃ / -6℃,西南风 <3级 /东南风 <3级
2018年1月25日,小雪 /小雪,-2℃ / -7℃,东风 <3级 /东风 <3级
2018年1月26日,小雪 /小雪,-1℃ / -7℃,东风 3～4级 /东风 <3级
2018年1月27日,小雪 /阴,-3℃ / -8℃,东南风 <3级 /西北风 <3级
2018年1月28日,阴 /多云,2℃ / -10℃,南风 <3级 /西北风 <3级
2018年1月29日,晴 /晴,-2℃ / -10℃,东风 <3级 /西北风 <3级
2018年1月30日,多云 /多云,1℃ / -8℃,西北风 3～4级 /西风 <3级
2018年1月31日,晴 /晴,3℃ / -10℃,西风 <3级 /西北风 <3级
2018年2月1日,多云 /多云,5℃ / -8℃,西北风 <3级 /西北风 <3级
2018年2月2日,晴 /晴,0℃ / -9℃,东南风 <3级 /东北风 <3级
2018年2月3日,晴 /晴,0℃ / -10℃,东南风 <3级 /西北风 <3级
2018年2月4日,晴 /晴,2℃ / -10℃,东风 <3级 /西北风 <3级
2018年2月5日,晴 /晴,5℃ / -6℃,东南风 <3级 /西北风 <3级
2018年2月6日,晴 /多云,7℃ / -5℃,南风 <3级 /西北风 <3级
2018年2月7日,多云 /多云,7℃ / -6℃,东南风 <3级 /东北风 <3级
2018年2月8日,多云 /多云,7℃ / -3℃,东风 <3级 /西北风 <3级
2018年2月9日,阴 /多云,8℃ / -3℃,西风 <3级 /西北风 <3级
2018年2月10日,多云 /晴,6℃ / -6℃,南风 <3级 /西北风 <3级
2018年2月11日,晴 /晴,6℃ / -6℃,东南风 <3级 /北风 <3级
2018年2月12日,晴 /晴,8℃ / -4℃,东风 <3级 /西风 <3级
2018年2月13日,多云 /多云,12℃ / -4℃,西南风 <3级 /西风 <3级
2018年2月14日,多云 /多云,13℃ / 0℃,东风 <3级 /东北风 <3级
2018年2月15日,多云 /多云,10℃ / -2℃,东南风 <3级 /西北风 <3级
2018年2月16日,多云 /小雨,8℃ / 1℃,东北风 <3级 /西风 <3级
2018年2月17日,小雨 /阴,8℃ / -1℃,西风 <3级 /西北风 <3级
2018年2月18日,阴 /阴,8℃ / 0℃,东风 <3级 /西风 <3级
2018年2月19日,多云 /阴,11℃ / 1℃,东风 <3级 /东北风 <3级
2018年2月20日,小雨 /阴,8℃ / 0℃,西风 3～4级 /西风 <3级
2018年2月21日,晴 /多云,8℃ / -2℃,南风 <3级 /西北风 <3级
2018年2月22日,晴 /多云,15℃ / -1℃,西北风 <3级 /西风 3～4级
2018年2月23日,多云 /多云,16℃ / 1℃,西风 3～4级 /西风 3～4级
2018年2月24日,多云 /多云,15℃ / -1℃,西风 <3级 /东北风 <3级
2018年2月25日,晴 /多云,16℃ / 2℃,东风 <3级 /西北风 <3级
2018年2月26日,多云 /阴,18℃ / 4℃,西南风 <3级 /北风 <3级
2018年2月27日,多云 /晴,16℃ / 3℃,东南风 <3级 /西北风 <3级
2018年2月28日,晴 /多云,19℃ / 3℃,东南风 <3级 /东北风 <3级
2018年3月1日,多云 /多云,15℃ / 2℃,东南风 3～4级 /北风 <3级
2018年3月2日,多云 /晴,18℃ / 3℃,东南风 <3级 /西北风 <3级
2018年3月3日,晴 /小雨,21℃ / 5℃,南风 <3级 /西风 3～4级
2018年3月4日,小雨 /多云,14℃ / 0℃,西风 3～4级 /北风 <3级
2018年3月5日,小雨 /小雨,9℃ / 2℃,东风 <3级 /东风 <3级
2018年3月6日,小雨 /雨夹雪,8℃ / 1℃,东风 3～4级 /东风 <3级
2018年3月7日,阴 /多云,12℃ / 0℃,西风 <3级 /北风 <3级
2018年3月8日,多云 /晴,13℃ / 0℃,东风 3～4级 /西北风 <3级
2018年3月9日,晴 /多云,16℃ / 4℃,东南风 <3级 /西北风 <3级
2018年3月10日,多云 /晴,20℃ / 6℃,东南风 <3级 /北风 <3级
2018年3月11日,晴 /晴,20℃ / 5℃,东风 <3级 /西北风 <3级
2018年3月12日,晴 /晴,21℃ / 5℃,东南风 <3级 /西北风 <3级
2018年3月13日,多云 /多云,24℃ / 6℃,东南风 <3级 /西北风 <3级
2018年3月14日,晴 /晴,25℃ / 6℃,东南风 <3级 /西北风 <3级
2018年3月15日,晴 /多云,24℃ / 8℃,东风 3～4级 /东风 3～4级
2018年3月16日,多云 /小雨,16℃ / 6℃,东风 4～5级 /东风 3～4级
2018年3月17日,小雨 /小雨,6℃ / 4℃,东北风 <3级 /东风 <3级
2018年3月18日,小雨 /阴,8℃ / 5℃,西南风 <3级 /北风 <3级
2018年3月19日,多云 /阴,14℃ / 4℃,东风 3～4级 /东风 <3级
2018年3月20日,晴 /晴,15℃ / 2℃,东风 3～4级 /北风 <3级
2018年3月21日,晴 /晴,19℃ / 6℃,西南风 <3级 /北风 <3级
2018年3月22日,晴 /晴,22℃ / 5℃,东南风 <3级 /北风 <3级
2018年3月23日,多云 /多云,22℃ / 6℃,西风 <3级 /北风 <3级
2018年3月24日,多云 /多云,21℃ / 9℃,东南风 3～4级 /东北风 <3级
2018年3月25日,多云 /多云,20℃ / 9℃,东南风 <3级 /西北风 <3级
2018年3月26日,多云 /多云,25℃ / 9℃,西风 3～4级 /西北风 <3级
2018年3月27日,晴 /多云,29℃ / 10℃,西风 <3级 /西风 <3级
2018年3月28日,晴 /晴,29℃ / 10℃,东南风 <3级 /北风 <3级
2018年3月29日,多云 /多云,26℃ / 12℃,东风 4～5级 /东风 4～5级
2018年3月30日,多云 /阴,24℃ / 12℃,东南风 <3级 /西北风 <3级
2018年3月31日,阴 /多云,25℃ / 10℃,西风 <3级 /西北风 <3级
2018年4月1日,晴 /晴,28℃ / 10℃,西风 <3级 /西北风 <3级
2018年4月2日,晴 /晴,30℃ / 10℃,东南风 <3级 /西北风 <3级
2018年4月3日,晴 /晴,30℃ / 14℃,西风 3～4级 /东风 3～4级
2018年4月4日,小雨 /小雨,23℃ / 10℃,东风 4～5级 /东北风 <3级
2018年4月5日,多云 /多云,16℃ / 7℃,北风 4～5级 /西风 4～5级
2018年4月6日,晴 /晴,15℃ / 2℃,西北风 3～4级 /北风 <3级
2018年4月7日,晴 /晴,20℃ / 5℃,东南风 <3级 /西风 3～4级
2018年4月8日,晴 /晴,27℃ / 8℃,东南风 <3级 /西北风 <3级
2018年4月9日,晴 /晴,30℃ / 10℃,西南风 <3级 /西风 3～4级
2018年4月10日,多云 /多云,27℃ / 10℃,西南风 3～4级 /东北风 <3级
2018年4月11日,多云 /小雨,21℃ / 15℃,东南风 <3级 /东风 <3级
2018年4月12日,小雨 /中雨,16℃ / 8℃,东南风 <3级 /西风 4～5级
2018年4月13日,小雨 /阴,14℃ / 10℃,西风 4～5级 /西风 3～4级
2018年4月14日,多云 /多云,18℃ / 6℃,西南风 <3级 /东北风 <3级
2018年4月15日,晴 /晴,19℃ / 5℃,东风 3～4级 /西北风 <3级
2018年4月16日,晴 /晴,23℃ / 7℃,东风 3～4级 /西北风 <3级
2018年4月17日,晴 /晴,26℃ / 10℃,西南风 <3级 /西北风 <3级
2018年4月18日,晴 /晴,29℃ / 12℃,东南风 <3级 /东北风 <3级
2018年4月19日,多云 /小雨,29℃ / 16℃,东南风 3～4级 /东风 3～4级
2018年4月20日,中雨 /多云,22℃ / 11℃,东南风 <3级 /西北风 <3级
2018年4月21日,多云 /多云,26℃ / 14℃,东南风 <3级 /北风 <3级
2018年4月22日,小雨 /阴,25℃ / 12℃,东风 <3级 /东风 <3级
2018年4月23日,阴 /阵雨,18℃ / 13℃,东南风 <3级 /西风 3～4级
2018年4月24日,小雨 /小雨,18℃ / 12℃,西风 3～4级 /东北风 <3级
2018年4月25日,小雨 /晴,19℃ / 8℃,东风 <3级 /北风 <3级
2018年4月26日,多云 /晴,26℃ / 10℃,西南风 <3级 /西北风 <3级
2018年4月27日,多云 /多云,28℃ / 11℃,东南风 <3级 /北风 <3级
2018年4月28日,小雨 /晴,23℃ / 13℃,东南风 3～4级 /西风 <3级
2018年4月29日,晴 /多云,28℃ / 14℃,西风 3～4级 /西风 <3级
2018年4月30日,阴 /阴,26℃ / 14℃,西风 <3级 /西北风 <3级
2018年5月1日,多云 /多云,28℃ / 11℃,西风 <3级 /西北风 <3级
2018年5月2日,多云 /多云,25℃ / 10℃,东风 3～4级 /东北风 <3级
2018年5月3日,阴 /阴,28℃ / 16℃,东南风 <3级 /北风 <3级
2018年5月4日,阴 /多云,24℃ / 14℃,东南风 <3级 /北风 <3级
2018年5月5日,阴 /阴,24℃ / 13℃,西北风 4～5级 /西北风 3～4级
2018年5月6日,小雨 /多云,17℃ / 10℃,西风 4～5级 /北风 <3级
2018年5月7日,晴 /多云,22℃ / 11℃,东风 3～4级 /东北风 <3级
2018年5月8日,多云 /小雨,24℃ / 14℃,东风 <3级 /东北风 <3级
2018年5月9日,小雨 /阴,18℃ / 12℃,西风 3～4级 /西风 <3级
2018年5月10日,小雨 /小雨,20℃ / 13℃,东风 3～4级 /西风 3～4级
2018年5月11日,多云 /多云,24℃ / 13℃,西风 3～4级 /西北风 <3级
2018年5月12日,晴 /晴,31℃ / 12℃,南风 <3级 /西北风 <3级
2018年5月13日,晴 /晴,32℃ / 16℃,西南风 <3级 /西北风 <3级
2018年5月14日,多云 /多云,30℃ / 18℃,东南风 3～4级 /北风 <3级
2018年5月15日,晴 /晴,34℃ / 20℃,东南风 <3级 /西北风 <3级
2018年5月16日,多云 /多云,35℃ / 20℃,南风 <3级 /西风 3～4级
2018年5月17日,阴 /多云,30℃ / 19℃,西风 3～4级 /西北风 <3级
2018年5月18日,阵雨 /小雨,29℃ / 18℃,东风 3～4级 /东风 <3级
2018年5月19日,小雨 /阴,27℃ / 17℃,东风 <3级 /东风 <3级
2018年5月20日,多云 /多云,26℃ / 15℃,东风 <3级 /西南风 <3级
2018年5月21日,小雨 /小雨,23℃ / 15℃,西风 3～4级 /西风 3～4级
2018年5月22日,多云 /晴,24℃ / 13℃,西北风 <3级 /东北风 <3级
2018年5月23日,多云 /阴,23℃ / 14℃,东南风 <3级 /西风 <3级
2018年5月24日,小雨 /小雨,23℃ / 16℃,东南风 1-2级 /东南风 1-2级
2018年5月25日,多云 /小雨,27℃ / 17℃,南风 1-2级 /南风 1-2级
2018年5月26日,小雨 /多云,22℃ / 13℃,西风 3-4级 /西风 3-4级
2018年5月27日,多云 /多云,27℃ / 13℃,西风 1-2级 /西风 1-2级
2018年5月28日,多云 /多云,30℃ / 15℃,西风 <3级 /西北风 <3级
2018年5月29日,阴 /阴,29℃ / 14℃,南风 <3级 /西北风 <3级
2018年5月30日,多云 /多云,29℃ / 15℃,东风 3～4级 /东北风 <3级
2018年5月31日,晴 /多云,29℃ / 15℃,东南风 3-4级 /东南风 3-4级
2018年6月1日,阴 /多云,27℃ / 18℃,西风 <3级 /西风 <3级
2018年6月2日,多云 /多云,28℃ / 18℃,南风 <3级 /西风 3～4级
2018年6月3日,阴 /阴,32℃ / 19℃,西北风 4～5级 /西风 3～4级
2018年6月4日,晴 /晴,31℃ / 13℃,南风 1-2级 /南风 1-2级
2018年6月5日,晴 /晴,35℃ / 18℃,东南风 1-2级 /东南风 1-2级
2018年6月6日,多云 /多云,35℃ / 20℃,东南风 3-4级 /东南风 3-4级
2018年6月7日,阴 /小雨,26℃ / 18℃,西风 4-5级 /西风 4-5级
2018年6月8日,中雨 /晴,21℃ / 12℃,西风 3-4级 /西风 3-4级
2018年6月9日,晴 /晴,29℃ / 14℃,南风 1-2级 /南风 1-2级
2018年6月10日,多云 /多云,32℃ / 17℃,东南风 1-2级 /东南风 1-2级
2018年6月11日,多云 /晴,34℃ / 21℃,南风 1-2级 /南风 1-2级
2018年6月12日,晴 /晴,36℃ / 20℃,东南风 <3级 /西北风 <3级
2018年6月13日,晴 /多云,37℃ / 20℃,南风 <3级 /东风 <3级
2018年6月14日,多云 /阴,34℃ / 21℃,东南风 3～4级 /东北风 <3级
2018年6月15日,阴 /小雨,32℃ / 20℃,东南风 <3级 /东北风 <3级
2018年6月16日,小雨 /多云,25℃ / 18℃,东风 1-2级 /东风 1-2级
2018年6月17日,小雨 /小雨,27℃ / 21℃,西风 <3级 /东风 <3级
2018年6月18日,小雨 /多云,24℃ / 20℃,东风 <3级 /西北风 <3级
2018年6月19日,多云 /多云,31℃ / 20℃,东南风 1-2级 /东南风 1-2级
2018年6月20日,多云 /多云,32℃ / 18℃,东南风 3～4级 /东北风 <3级
2018年6月21日,阵雨 /多云,31℃ / 21℃,南风 <3级 /东北风 <3级
2018年6月22日,晴 /多云,33℃ / 22℃,东南风 <3级 /东北风 <3级
2018年6月23日,多云 /晴,34℃ / 23℃,东南风 <3级 /东北风 <3级
2018年6月24日,阵雨 /阴,30℃ / 23℃,南风 1-2级 /南风 1-2级
2018年6月25日,小雨 /小雨,29℃ / 22℃,东南风 1-2级 /东南风 1-2级
2018年6月26日,小雨 /小雨,24℃ / 22℃,西风 1-2级 /西风 1-2级
2018年6月27日,多云 /多云,33℃ / 24℃,南风 1-2级 /南风 1-2级
2018年6月28日,多云 /多云,33℃ / 23℃,东风 3～4级 /东北风 <3级
2018年6月29日,中雨 /中雨,33℃ / 22℃,西风 <3级 /西风 <3级
2018年6月30日,多云 /多云,30℃ / 23℃,东南风 <3级 /东北风 <3级
2018年7月1日,阴 /小雨,30℃ / 22℃,东风 3-4级 /东风 3-4级
2018年7月2日,大雨 /小雨,24℃ / 20℃,南风 <3级 /西北风 <3级
2018年7月3日,中雨 /大雨,23℃ / 20℃,南风 1-2级 /南风 1-2级
